SECTION,SCHOOL,COURSE_CODE,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE,MODE,Link,PUBLISH?,START_TIME,END_TIME,DAYS,TOTAL_ENR,MODALITY,INSTRUCTOR_NAME,ASSIGNED_ROOM,TOTAL_ENR,COURSE_DESCRIPTION
99999,EDUC,EDUC-439,1,4,4,Education for Sustainable Global Futures,C,,N,13:00,15:20,MW,0,,"Carbone, Paula, Marie",ONLINE,0,"Explores the concept of an equitable, just and sustainable future and examines what actions we can take to shape this sustainable future. Discussion topics include climate change and environmental justice."
10200,ACAD,ACAD-174,1,2,2,Innovators Forum,C,,Y,17:00,19:50,M,0,,"Thomas, Doug",IYH210/211,0,"Leaders in diverse disciplines, industries and the arts present and discuss problems facing society and critique real-world projects that challenge the concept of innovation."
,,,,,,,,,,,,,,,"Wolter, Davina",,,
10202,ACAD,ACAD-176,1,4,4,Rapid Visualization,C,,Y,14:00,16:50,MW,0,,"Child, Stephen, C.",IYH111,0,"Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills."
10203,ACAD,ACAD-177,1,2,2,Digital Toolbox: Design,C,,Y,17:00,19:50,W,0,,"Child, Stephen, C.",IYH210,0,"Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing."
10206,ACAD,ACAD-178,1,2,2,Digital Toolbox: Motion Graphics,C,,Y,9:00,11:50,H,0,,"Siegel, Aaron",IYH210/211,0,"Basics of industry standard software for motion graphics, visual effects, animation design, generative art and interactive visual experiences."
10207,ACAD,ACAD-180,1,2,2,Digital Toolbox: Audio and Video,C,,Y,9:00,11:50,T,0,,,IYH210/211,0,"Basics of designing, creating, processing, editing and distributing audio and video."
10209,ACAD,ACAD-181,1,4,4,Disruptive Innovation,C,,Y,18:00,19:50,MW,0,,"Swain, Chris",IYH212,0,"Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students."
10211,ACAD,ACAD-182,1,4,4,Case Studies in Innovation,C,,Y,9:00,10:50,MW,0,,"Sharkey, Tina",IYH210/211,0,"Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation."
,,,,,,,,,,,,,,,"Crowley, Michael, Gregory",,,
10215,ACAD,ACAD-188,508,2,2,Digital Toolbox: Modeling Products I,C,,Y,18:00,19:50,TH,0,,"Hughes, Adam",IYH111,0,"Tools and techniques specific to CAD design and design improvements, focused on the ideation and development new products."
10217,ACAD,ACAD-189,648,2,2,Digital Toolbox: Modeling Products II,C,,Y,18:00,19:50,TH,0,,"Hughes, Adam",IYH111,0,"An investigation of the tools and techniques specific to intermediate CAD design and design improvements, focused on the ideation and development new products."
