"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00010","MED-100","MED","003","16.0","16.0","First Year Medicine","C","","Y","TBA","TBA","","185","B","Ben-Ari, Ron;Nash, Kevin","OFFICE","185","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20203"
"00020","MED-200","MED","047","16.0","16.0","Second Year Medicine","C","","Y","TBA","TBA","","188","B","Ben-Ari, Ron;Nash, Kevin","","188","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20203"
"00030","MED-300","MED","080","16.0","16.0","Third Year Medicine","C","","Y","TBA","TBA","","189","B","Ben-Ari, Ron;Nash, Kevin","OFFICE","189","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20203"
"00040","MED-400","MED","049","16.0","16.0","Fourth Year Medicine","C","","Y","TBA","TBA","","187","B","Ben-Ari, Ron;Nash, Kevin","OFFICE","187","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20203"
"00070","MED-750","MED","001","16.0","16.0","Special Medicine","C","","Y","TBA","TBA","","26","B","Ben-Ari, Ron;Nash, Kevin","OFFICE","26","For registration and fee purposes only.","","MED","20203"
"00214","PDF-999","RNR","074","0.0","0.0","Postdoctoral Fellows","C","","Y","","","","266","","","OFFICE","266","Course created for visiting postdoctoral fellows scholars.  The course is created for enrollment purposes, zero units, full time status, scheduled in session 018, and never appears in the student academic records system.","","PDF","20203"
"00298","USC-300","LASO","860","15.0","15.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","0","","","OFFCAMPUS","0","Block enrollment course for registration purposes only.","","USC","20203"
"00300","USC-300","LASO","717","2.0","2.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","20","","","OFFCAMPUS","20","Block enrollment course for registration purposes only.","","USC","20203"
"00301","USC-300","LASO","717","3.0","3.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","0","","","OFFCAMPUS","0","Block enrollment course for registration purposes only.","","USC","20203"
"00302","USC-300","LASO","717","5.0","5.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","0","","","OFFCAMPUS","0","Block enrollment course for registration purposes only.","","USC","20203"
"00352","SPAN-321","LAS","001","4.0","4.0","Sounds, Images, Objects","C","","N","","","","0","","","","0","Introduction to the study of Iberian and Latin American cultural forms through readings on the visual arts, cinema, architecture, and music.  Conducted in Spanish.","","SPAN","20203"
"00354","SPAN-260","LASH","001","4.0","4.0","Advanced Spanish: Arts and Sciences","C","","N","","","","0","","","","0","Development of students' oral and writing skills using literary and scientific materials; grammar review. Duplicates credit in the former SPAN 266.","","SPAN","20203"
"00355","SPAN-302","LAS","001","4.0","4.0","Screen Cultures: From Film to the Internet","C","","N","","","","0","","","","0","A survey of Spanish and Latin American cinema from the silent film era to the present, acquainting students with various critical and theoretical approaches to cinema studies. Conducted in Spanish.","","SPAN","20203"
"00356","SPAN-464","LASH","001","4.0","4.0","Introduction to Contemporary Spanish Theatre","C","","N","","","","0","","","","0","(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","","SPAN","20203"
"00375","IR-368","LASS","001","4.0","4.0","French Foreign Policy: 1945 to the Present","C","","N","","","","0","","","","0","Introduction to historical, thematic perspectives of French foreign policy since 1945 including review of external and internal constraints influencing foreign policy. (Paris semester only).","","IR","20203"
"00461","USC-300","LASO","717","4.0","4.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","0","","","OFFCAMPUS","0","Block enrollment course for registration purposes only.","","USC","20203"
"00900","USC-100","RNR","001","1.0","16.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","0","","Chang, Frank","OFFCAMPUS","0","The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20203"
"00901","USC-099","BUAD","193","1.0","18.0","WBB Semester At Large","C","","Y","TBA","TBA","","65","A","","ONLINE","65","This is a zero unit, zero cost class to maintain USC student status for WBB students while they are away studying at KHUST and Bocconi.  Enrollment in this class will grant full time student status at USC with access to student services.","","USC","20203"
"00903","USC-099","BUAD","828","1.0","18.0","WBB Semester At Large","C","","Y","TBA","TBA","","53","A","","ONLINE","53","This is a zero unit, zero cost class to maintain USC student status for WBB students while they are away studying at KHUST and Bocconi.  Enrollment in this class will grant full time student status at USC with access to student services.","","USC","20203"
"00941","RNR-050","RNR","808","0.0","0.0","International Academy Holding Course","C","","Y","","","","324","","","OFFICE","324","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20203"
"00942","RNR-050","RNR","810","0.0","0.0","International Academy Holding Course","C","","Y","","","","0","","","OFFICE","0","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20203"
"00943","RNR-050","RNR","617","0.0","0.0","International Academy Holding Course","C","","Y","","","","0","","","OFFICE","0","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20203"
"00944","RNR-050","RNR","678","0.0","0.0","International Academy Holding Course","C","","Y","","","","0","","","OFFICE","0","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20203"
"00945","RNR-051","RNR","199","0.0","0.0","International Academy Holding Course (Part II)","C","","Y","","","","0","","","OFFICE","0","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student population. This course serves the popuation that has successfully completed RNR-050.  Tuition is paid directly to the Academy.","","RNR","20203"
"02603","LAW-200","LAW","060","4.0","4.0","Law and Society","C","","Y","12:00","13:20","MW","114","A","Haddad, Mark","ONLINE","114","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20203"
"02604","LAW-320","LAW","060","4.0","4.0","Law, Slavery, and Race","C","","Y","10:00","11:20","MW","44","A","Gross, Ariela","ONLINE","44","Studies how law, politics and culture interacted to shape the institution of slavery and the development of modern conceptions of race.","","LAW","20203"
"02605","LAW-320","LAW","060","0.0","0.0","Law, Slavery, and Race","D","","Y","09:00","09:50","M","17","A","Gross, Ariela;Farner, Craig, G.","ONLINE","17","Studies how law, politics and culture interacted to shape the institution of slavery and the development of modern conceptions of race.","","LAW","20203"
"02606","LAW-200","LAW","060","0.0","0.0","Law and Society","D","","Y","15:00","15:50","M","22","A","Haddad, Mark;Treister, Olivia, M.","ONLINE","22","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20203"
"02607","LAW-300","LAW","060","4.0","4.0","Concepts in American Law","C","","Y","14:00","15:50","MW","47","A","Klerman, Dan","ONLINE","47","The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","","LAW","20203"
"02608","LAW-200","LAW","060","0.0","0.0","Law and Society","D","","Y","14:00","14:50","M","26","A","Haddad, Mark;Treister, Olivia, M.","ONLINE","26","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20203"
"02609","LAW-320","LAW","060","0.0","0.0","Law, Slavery, and Race","D","","Y","12:00","12:50","W","12","A","Gross, Ariela;Farner, Craig, G.","ONLINE","12","Studies how law, politics and culture interacted to shape the institution of slavery and the development of modern conceptions of race.","","LAW","20203"
"02610","LAW-320","LAW","060","0.0","0.0","Law, Slavery, and Race","D","","Y","12:00","12:50","M","15","A","Gross, Ariela;Farner, Craig, G.","ONLINE","15","Studies how law, politics and culture interacted to shape the institution of slavery and the development of modern conceptions of race.","","LAW","20203"
"02611","LAW-200","LAW","060","0.0","0.0","Law and Society","D","","Y","15:00","15:50","W","8","A","Haddad, Mark;Weinstein, Michael, R.","ONLINE","8","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20203"
"02612","LAW-200","LAW","060","0.0","0.0","Law and Society","D","","Y","14:00","14:50","W","19","A","Haddad, Mark;Weinstein, Michael, R.","ONLINE","19","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20203"
"02613","LAW-205","LAW","060","4.0","4.0","Introduction to Criminal Law","C","","Y","12:00","13:40","TH","32","A","Johnson, Peter","ONLINE","32","Provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law.","","LAW","20203"
"02614","LAW-300","LAW","060","4.0","4.0","Concepts in American Law","C","","Y","14:00","15:50","MW","58","A","Stolzenberg, Nomi, M","ONLINE","58","The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","","LAW","20203"
"02615","LAW-402","LAW","060","4.0","4.0","Psychology and Law","C","","Y","15:30","18:50","W","58","A","Larson, Rakel","ONLINE","58","Explores issues of responsibility and credibility.  Intentional and unintentional behavior.  Clinical biases.  Topics include witness credibility, confessions, cults, hostages, battered persons, and repressed memories.","","LAW","20203"
"02616","LAW-201","LAW","060","4.0","4.0","Law and Politics","C","","Y","16:00","19:20","T","8","A","Tolson, Franita","ONLINE","8","Examination of the rules and realities of American politics, and the role politics plays in American life and culture.","","LAW","20203"
"02617","LAW-250","LAW","001","4.0","4.0","Children and the Law","C","","N","10:00","11:50","MW","0","","","","0","Examines topics such as children's suggestibility, decision-making, and risk and resiliency all as they apply to legal settings.","","LAW","20203"
"02620","LAW-200","LAW","060","0.0","0.0","Law and Society","D","","Y","14:00","14:50","M","23","A","Haddad, Mark;Weinstein, Michael, R.","ONLINE","23","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20203"
"02640","LAW-220","LAW","060","2.0","2.0","The Legal Profession","C","","Y","12:00","13:40","F","104","A","Guzman, Andrew;Rasmussen, Robert, K.","ONLINE","104","Introduces students to the basic aspects of the legal profession.","","LAW","20203"
"02650","LAW-250","LAW","001","4.0","4.0","Children and the Law","C","","N","15:30","18:50","T","0","","","","0","Examines topics such as children's suggestibility, decision-making, and risk and resiliency all as they apply to legal settings.","","LAW","20203"
"02662","LAW-200","LAW","060","0.0","0.0","Law and Society","D","","Y","14:00","14:50","W","16","A","Haddad, Mark;Treister, Olivia, M.","ONLINE","16","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20203"
"02665","LAW-210","LAW","060","4.0","4.0","Fundamentals of the U.S. Legal System","C","","Y","10:00","11:40","TH","65","A","Scotten, Donald","ONLINE","65","Introduces the U.S. legal system and its relationship to basic principles of the rule of law. Examines the criminal and the civil law systems, focusing on Supreme Court decisions involving the separation of powers, federalism and contemporary legal issues.","","LAW","20203"
"03010","LAW-502","LAW","991","4.0","4.0","Procedure I","C","","Y","14:00","15:10","MWF","61","A","Roithmayr, Daria","ONLINE","61","Consideration of the participants in litigation; private and public plaintiffs, defendants, and courts. Information exchange, process, outcomes, and costs of lawsuits.","","LAW","20203"
"03014","LAW-502","LAW","991","4.0","4.0","Procedure I","C","","Y","14:00","15:50","TH","61","A","Klerman, Dan","ONLINE","61","Consideration of the participants in litigation; private and public plaintiffs, defendants, and courts. Information exchange, process, outcomes, and costs of lawsuits.","","LAW","20203"
"03019","LAW-502","LAW","991","4.0","4.0","Procedure I","C","","Y","10:40 10:30","11:50 11:40","M HF","64","A","Pastore, Clare","ONLINE ONLINE","64","Consideration of the participants in litigation; private and public plaintiffs, defendants, and courts. Information exchange, process, outcomes, and costs of lawsuits.","","LAW","20203"
"03020","LAW-503","LAW","991","4.0","4.0","Contracts","C","","Y","10:40","11:50","MWH","61","A","Rasmussen, Robert, K.","ONLINE","61","The interpretation and enforcement of promises and agreements.","","LAW","20203"
"03024","LAW-503","LAW","991","4.0","4.0","Contracts","C","","Y","14:00","15:10","MWF","61","A","Jimenez, Felipe","ONLINE","61","The interpretation and enforcement of promises and agreements.","","LAW","20203"
"03029","LAW-503","LAW","991","4.0","4.0","Contracts","C","","Y","09:00","10:10","MTW","64","A","Barnett, Jonathan, M.","ONLINE","64","The interpretation and enforcement of promises and agreements.","","LAW","20203"
"03050","LAW-507","LAW","991","4.0","4.0","Property","C","","Y","09:30","11:10","TF","62","A","Altman, Scott, A","ONLINE","62","The idea of property as understood through economic and philosophical concepts. Rights in land, water and other natural resources. Forms of shared ownership (e.g., landlord and tenant), and a survey of mechanisms for controlling land use.","","LAW","20203"
"03074","LAW-509","LAW","991","4.0","4.0","Torts I","C","","Y","10:40","11:50","MWF","62","A","Keating, Greg","ONLINE","62","Individual's obligation not to harm others; bases for compensating persons who are harmed, either by holding responsible whoever is at fault or by invoking other principles of liability, including the efficiency of resource allocation and the spreading of losses.","","LAW","20203"
"03079","LAW-509","LAW","991","4.0","4.0","Torts I","C","","Y","13:15","14:25","MWF","64","A","Hovenkamp, Erik, N.","ONLINE","64","Individual's obligation not to harm others; bases for compensating persons who are harmed, either by holding responsible whoever is at fault or by invoking other principles of liability, including the efficiency of resource allocation and the spreading of losses.","","LAW","20203"
"03100","LAW-515","LAW","991","3.0","3.0","Legal Research, Writing, and Advocacy I","C","","Y","08:00","08:50","TH","11","A","Moulton, Michael;Carroll, Elizabeth;Raphael, Brian, M.","ONLINE","11","Development of legal research, writing, and advocacy skills. Emphasis on objective legal writing, including memoranda, and researching case law through primary and secondary sources. Registration restricted to Law students.","","LAW","20203"
"03101","LAW-515","LAW","991","3.0","3.0","Legal Research, Writing, and Advocacy I","C","","Y","08:00","08:50","TH","12","A","Lane, Rikesha;Carroll, Elizabeth;Raphael, Brian, M.","ONLINE","12","Development of legal research, writing, and advocacy skills. Emphasis on objective legal writing, including memoranda, and researching case law through primary and secondary sources. Registration restricted to Law students.","","LAW","20203"
"03102","LAW-515","LAW","991","3.0","3.0","Legal Research, Writing, and Advocacy I","C","","Y","08:00","08:50","TH","14","A","Kouyoumdjian, Natalie;Carroll, Elizabeth;Raphael, Brian, M.","ONLINE","14","Development of legal research, writing, and advocacy skills. Emphasis on objective legal writing, including memoranda, and researching case law through primary and secondary sources. Registration restricted to Law students.","","LAW","20203"
"03103","LAW-515","LAW","991","3.0","3.0","Legal Research, Writing, and Advocacy I","C","","Y","08:00","08:50","TH","12","A","Canter, Nancy;Carroll, Elizabeth;Raphael, Brian, M.","ONLINE","12","Development of legal research, writing, and advocacy skills. Emphasis on objective legal writing, including memoranda, and researching case law through primary and secondary sources. Registration restricted to Law students.","","LAW","20203"
"03104","LAW-515","LAW","991","3.0","3.0","Legal Research, Writing, and Advocacy I","C","","Y","08:00","08:50","TH","12","A","Lonergan, Rebecca, S.;Carroll, Elizabeth;Raphael, Brian, M.","ONLINE","12","Development of legal research, writing, and advocacy skills. Emphasis on objective legal writing, including memoranda, and researching case law through primary and secondary sources. Registration restricted to Law students.","","LAW","20203"
"03105","LAW-515","LAW","991","3.0","3.0","Legal Research, Writing, and Advocacy I","C","","Y","10:00","10:50","TH","11","A","Kouyoumdjian, Natalie;Carroll, Elizabeth;Raphael, Brian, M.","ONLINE","11","Development of legal research, writing, and advocacy skills. Emphasis on objective legal writing, including memoranda, and researching case law through primary and secondary sources. Registration restricted to Law students.","","LAW","20203"
