"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"10","MED-100","MED","3","16","16","First Year Medicine","C","","Y","","","","188","","Ben-Ari, Ron;Nash, Kevin","OFFICE","188","FOR REGISTRATION AND FEE PURPOSES ONLY.","MED","20201"
"10104","ALI-225","LAS","1","2","2","Academic and Professional Writing Skills I","C","","N","09:30:00","10:50:00","TH","0","","Briesch Sumner, Kimberley","OFFICE","0","Required for international students whose writing skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI cour","ALI","20201"
"10106","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","Y","14:00:00","15:20:00","MW","11","","Murphy, Mary Ann","THH117","11","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10107","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","Y","14:00:00","15:20:00","MW","10","","Martinez, Olivia, Veronica","VKC202","10","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10108","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","Y","14:00:00","15:20:00","TH","10","","Martinez, Olivia, Veronica","THH117","10","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10109","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","N","14:00:00","15:20:00","TH","0","","Murphy, Mary Ann","OFFICE","0","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10110","ALI-235","LAS","1","2","2","Academic and Professional Writing Skills II","C","","Y","14:00:00","15:20:00","TH","9","","Martinez, Olivia, Veronica","THH219","9","Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10111","ALI-235","LAS","1","2","2","Academic and Professional Writing Skills II","C","","Y","09:00:00","11:50:00","F","12","","Martinez, Olivia, Veronica","SOSB45","12","Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10112","ALI-235","LAS","1","2","2","Academic and Professional Writing Skills II","C","","Y","11:00:00","12:20:00","TH","11","","Kirkpatrick, Juli, Ann","LVL3B","11","Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10113","ALI-235","LAS","1","2","2","Academic and Professional Writing Skills II","C","","Y","12:30:00","13:50:00","TH","12","","Kirkpatrick, Juli, Ann","LVL3B","12","Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10114","ALI-235","LAS","1","2","2","Academic and Professional Writing Skills II","C","","Y","12:30:00","13:50:00","TH","10","","Briesch Sumner, Kimberley","THH105","10","Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10115","ALI-235","LAS","1","2","2","Academic and Professional Writing Skills II","C","","Y","14:00:00","15:20:00","MW","12","","Kirkpatrick, Juli, Ann","LVL3B","12","Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10116","ALI-235","LAS","1","2","2","Academic and Professional Writing Skills II","C","","Y","14:00:00","15:20:00","TH","12","","Kirkpatrick, Juli, Ann","LVL3B","12","Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10117","ALI-235","LAS","1","2","2","Academic and Professional Writing Skills II","C","","N","15:30:00","16:50:00","MW","0","","Briesch Sumner, Kimberley","OFFICE","0","Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10118","ALI-242","LASH","1","2","2","High Intermediate Pronunciation","C","","Y","09:30:00","10:50:00","TH","15","","Griner, Barry, David","SOSB37","15","Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10119","ALI-242","LASH","1","2","2","High Intermediate Pronunciation","C","","N","11:00:00","12:20:00","TH","0","","","OFFICE","0","Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10121","ALI-244","LAS","1","2","2","Academic and Professional Speaking Skills III","C","","N","08:00:00","09:20:00","TH","0","","Jones, Richard","OFFICE","0","Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course","ALI","20201"
"10122","ALI-244","LAS","1","2","2","Academic and Professional Speaking Skills III","C","","N","08:00:00","09:20:00","TH","0","","","OFFICE","0","Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course","ALI","20201"
"10123","ALI-244","LAS","1","2","2","Academic and Professional Speaking Skills III","C","","Y","08:30:00","09:50:00","MW","12","","Jones, Richard","LVL3B","12","Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course","ALI","20201"
"10124","ALI-244","LAS","1","2","2","Academic and Professional Speaking Skills III","C","","N","14:00:00","15:20:00","MW","0","","Briesch Sumner, Kimberley","OFFICE","0","Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course","ALI","20201"
"10125","ALI-244","LAS","1","2","2","Academic and Professional Speaking Skills III","C","","Y","11:00:00","12:20:00","TH","11","","Briesch Sumner, Kimberley","THH105","11","Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course","ALI","20201"
"10126","ALI-244","LAS","1","2","2","Academic and Professional Speaking Skills III","C","","Y","14:00:00","15:20:00","MW","14","","Briesch Sumner, Kimberley","GFS204","14","Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course","ALI","20201"
"10127","ALI-244","LAS","1","2","2","Academic and Professional Speaking Skills III","C","","Y","14:00:00","15:20:00","TH","12","","Briesch Sumner, Kimberley","THH209","12","Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course","ALI","20201"
"10129","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","N","08:00:00","09:20:00","TH","0","","","OFFICE","0","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10130","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","N","08:30:00","09:50:00","MW","0","","","OFFICE","0","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10131","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","Y","09:00:00","11:50:00","F","11","","Minet-Lucid, Pamela, J","VKC204","11","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10132","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","Y","09:00:00","11:50:00","F","14","","Jones, Richard","THH209","14","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10133","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","Y","09:30:00","10:50:00","TH","15","","Kang, Nina","LVL3B","15","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10134","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","Y","11:00:00","12:20:00","TH","12","","Kang, Nina","THH111","12","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10135","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","Y","12:30:00","13:50:00","TH","12","","Kang, Nina","SOSB45","12","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10136","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","N","14:00:00","15:20:00","MW","0","","Kang, Nina","OFFICE","0","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10137","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","N","15:30:00","16:50:00","MW","0","","Kang, Nina","OFFICE","0","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10138","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","Y","15:30:00","16:50:00","MW","8","","Levin, Tracy, Frances","THH117","8","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10139","ALI-245","LAS","1","2","2","Academic and Professional Writing III","C","","N","15:30:00","16:50:00","TH","0","","","OFFICE","0","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI cou","ALI","20201"
"10140","ALI-252","LASH","1","2","2","Advanced Pronunciation","C","","Y","12:30:00","13:50:00","TH","5","","Griner, Barry, David","THH111","5","Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10142","ALI-246","LAS","1","3","3","Intermediate Oral Communication for ITAs","C","","N","10:00:00","11:50:00","TH","0","","","OFFICE","0","Required for international teaching assistants (ITAs) whose oral skills are assessed to be at the intermediate level by the ITA Exam or previous ALI course. Graded CR/NC.","ALI","20201"
"10143","ALI-252","LASH","1","2","2","Advanced Pronunciation","C","","Y","14:00:00","15:20:00","MW","12","","Griner, Barry, David","WPH104","12","Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
"10144","ALI-252","LASH","1","2","2","Advanced Pronunciation","C","","Y","11:00:00","12:20:00","TH","11","","Tzoytzoyrakos, Anastassia","SOSB43","11","Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","ALI","20201"
