"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
10,"MED-100","MED",3,16,16,"First Year Medicine","C","","Y","TBA","TBA","",189,"","Ben-Ari, Ron;Nash, Kevin","OFFICE",189,"FOR REGISTRATION AND FEE PURPOSES ONLY.","Keck School of Medicine","MED","20213"
20,"MED-200","MED",47,16,16,"Second Year Medicine","C","","Y","TBA","TBA","",181,"","Ben-Ari, Ron;Nash, Kevin","",181,"FOR REGISTRATION AND FEE PURPOSES ONLY.","Keck School of Medicine","MED","20213"
30,"MED-300","MED",80,16,16,"Third Year Medicine","C","","Y","TBA","TBA","",185,"","Ben-Ari, Ron;Nash, Kevin","OFFICE",185,"FOR REGISTRATION AND FEE PURPOSES ONLY.","Keck School of Medicine","MED","20213"
40,"MED-400","MED",49,16,16,"Fourth Year Medicine","C","","Y","TBA","TBA","",173,"","Ben-Ari, Ron;Nash, Kevin","OFFICE",173,"FOR REGISTRATION AND FEE PURPOSES ONLY.","Keck School of Medicine","MED","20213"
71,"MED-750","MED",17,16,16,"Special Medicine","C","","Y","TBA","TBA","",31,"","Hinton, David, R.","OFFICE",31,"For registration and fee purposes only.","Keck School of Medicine","MED","20213"
352,"SPAN-321","LAS",1,4,4,"Sounds, Images, Objects","C","","N","TBA","TBA","",0,"","","",0,"Introduction to the study of Iberian and Latin American cultural forms through readings on the visual arts, cinema, architecture, and music.  Conducted in Spanish.","Dana and David Dornsife College of Letters, Arts and Sciences","SPAN","20213"
354,"SPAN-260","LASH",1,4,4,"Advanced Spanish: Arts and Sciences","C","","N","TBA","TBA","",0,"","","",0,"Development of students' oral and writing skills using literary and scientific materials; grammar review. Duplicates credit in the former SPAN 266.","LAS- Humanities","SPAN","20213"
355,"SPAN-302","LAS",1,4,4,"Screen Cultures: From Film to the Internet","C","","N","TBA","TBA","",0,"","","",0,"A survey of Spanish and Latin American cinema from the silent film era to the present, acquainting students with various critical and theoretical approaches to cinema studies. Conducted in Spanish.","Dana and David Dornsife College of Letters, Arts and Sciences","SPAN","20213"
356,"SPAN-464","LASH",1,4,4,"Introduction to Contemporary Spanish Theatre","C","","N","TBA","TBA","",0,"","","",0,"(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","LAS- Humanities","SPAN","20213"
365,"FREN-330","LASH",613,4,4,"Critical Writing in French","C","","Y","TBA","TBA","",1,"","Grimes, Mark","OFFICE",1,"Advanced composition through critical reading of literary texts; comprehensive analysis of difficult grammatical structures and stylistics. Prerequisite: FREN 300.","LAS- Humanities","FREN","20213"
366,"FREN-449","LAS",613,4,4,"Studies in French Civilization","C","","Y","TBA","TBA","",3,"","Grimes, Mark","OFFICE",3,"(Paris Semester only) An analysis of the prestige of Paris, past and present, based upon close examination of literary texts and graphic materials, and visits to sites and monuments.  Recommended preparation: FREN 300","Dana and David Dornsife College of Letters, Arts and Sciences","FREN","20213"
367,"FREN-464","LAS",613,4,4,"Colloquium: French Civilization","C","","Y","TBA","TBA","",2,"","Grimes, Mark","OFFICE",2,"Selected topics such as the press, educational institutions, French cinema today, and French colonial history. Conducted in French. Prerequisites: FREN 330.","Dana and David Dornsife College of Letters, Arts and Sciences","FREN","20213"
372,"AHIS-357","LASH",613,4,4,"History of French Art 1860-1920","C","","Y","TBA","TBA","",2,"","Grimes, Mark","OFFICE",2,"(Paris semester only).  Exploration of the main movements of late 19th and early 20th century French art using the resources of Parisian museums and monuments.  Visits to Paris museums are an integral part of the coursework. Recommended preparation: familiarity with modern European history","LAS- Humanities","AHIS","20213"
376,"IR-368","LASS",613,4,4,"French Foreign Policy: 1945 to the Present","C","","Y","TBA","TBA","",1,"","Grimes, Mark","OFFICE",1,"Introduction to historical, thematic perspectives of French foreign policy since 1945 including review of external and internal constraints influencing foreign policy. (Paris semester only).","LAS- Social Science & Communications","IR","20213"
401,"USC-300","LASO",887,16,16,"Overseas Block Enrollment","C","","Y","TBA","TBA","",2,"","","OFF CAMPUS",2,"Block enrollment course for registration purposes only.","LAS - Other Programs","USC","20213"
