"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"10","MED-100","MED",3,16,16,"First Year Medicine","C","","Y","TBA","TBA","",190,"","Ben-Ari, Ron;Nash, Kevin","OFFICE",190,"FOR REGISTRATION AND FEE PURPOSES ONLY.","MED","20241"
"10104","ALI-225","LAS",1,2,2,"Academic and Professional Writing Skills I","C","","N","11:00","12:20","TH",0,"","","OFFICE",0,"Required for international students whose writing skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10106","ALI-234","LAS",1,2,2,"Academic and Professional Speaking Skills II","C","","Y","14:00","15:20","MW",11,"","Murphy, Mary Ann","THH117",11,"Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10107","ALI-234","LAS",1,2,2,"Academic and Professional Speaking Skills II","C","","Y","14:00","15:20","TH",11,"","Kirkpatrick, Juli, Ann","THH113",11,"Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10108","ALI-234","LAS",1,2,2,"Academic and Professional Speaking Skills II","C","","N","14:00","15:20","TH",0,"","","OFFICE",0,"Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10109","ALI-234","LAS",1,2,2,"Academic and Professional Speaking Skills II","C","","N","15:30","16:50","TH",0,"","","OFFICE",0,"Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10111","ALI-235","LAS",1,2,2,"Academic and Professional Writing Skills II","C","","Y","11:00","12:20","TH",4,"","Briesch Sumner, Kimberley","WPH104",4,"Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10112","ALI-235","LAS",1,2,2,"Academic and Professional Writing Skills II","C","","N","12:30","13:50","TH",0,"","","",0,"Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10113","ALI-235","LAS",1,2,2,"Academic and Professional Writing Skills II","C","","Y","12:30","13:50","TH",7,"","Martinez, Olivia, Veronica","DMC104",7,"Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10114","ALI-235","LAS",1,2,2,"Academic and Professional Writing Skills II","C","","Y","14:00","15:20","MW",9,"","Kirkpatrick, Juli, Ann","DMC104",9,"Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10115","ALI-235","LAS",1,2,2,"Academic and Professional Writing Skills II","C","","N","14:00","15:20","MW",0,"","","",0,"Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10116","ALI-235","LAS",1,2,2,"Academic and Professional Writing Skills II","C","","Y","12:30","13:50","MW",10,"","Kirkpatrick, Juli, Ann","SOSB43",10,"Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10117","ALI-235","LAS",1,2,2,"Academic and Professional Writing Skills II","C","","N","15:30","16:50","MW",0,"","","OFFICE",0,"Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20241"
"10118","ALI-242","LASH",1,2,2,"High Intermediate Pronunciation","C","","N","8:30","9:50","MW",0,"","","OFFICE",0,"Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.","ALI","20241"
