"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00010","MED-100","MED","003","16.0","16.0","First Year Medicine","C","","Y","TBA","TBA","","123","","Ben-Ari, Ron;Nash, Kevin","OFFICE",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20243"
"00020","MED-200","MED","047","16.0","16.0","Second Year Medicine","C","","Y","TBA","TBA","","185","","Ben-Ari, Ron;Nash, Kevin","",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20243"
"00030","MED-300","MED","080","16.0","16.0","Third Year Medicine","C","","Y","TBA","TBA","","187","","Ben-Ari, Ron;Diller, David","OFFICE",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20243"
"00040","MED-400","MED","049","16.0","16.0","Fourth Year Medicine","C","","Y","TBA","TBA","","192","","Ben-Ari, Ron;Diller, David","OFFICE",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20243"
"00071","MED-750","MED","205","16.0","16.0","Special Medicine","C","","Y","TBA","TBA","","31","","Riddell, Jeffrey, C.","OFFICE",NA,"For registration and fee purposes only.","","MED","20243"
"00214","PDF-999","RNR","074","0.0","0.0","Postdoctoral Fellows","C","","Y","TBA","TBA","","231","A","","ONLINE",NA,"Course created for visiting postdoctoral fellows scholars.  The course is created for enrollment purposes, zero units, full time status, scheduled in session 018, and never appears in the student academic records system.","","PDF","20243"
"00300","USC-300","LASO","521","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","0","","","OFFICE",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00301","USC-300","LASO","523","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","0","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00302","USC-300","LASO","860","15.0","15.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00354","SPAN-260","LASH","001","4.0","4.0","Advanced Spanish: Arts and Sciences","C","","N","TBA","TBA","","0","","","",NA,"Development of students' oral and writing skills using literary and scientific materials; grammar review. Duplicates credit in the former SPAN 266.","","SPAN","20243"
"00355","SPAN-302","LAS","001","4.0","4.0","Screen Cultures: From Film to the Internet","C","","N","TBA","TBA","","0","","","",NA,"A survey of Spanish and Latin American cinema from the silent film era to the present, acquainting students with various critical and theoretical approaches to cinema studies. Conducted in Spanish.","","SPAN","20243"
"00356","SPAN-464","LASH","001","4.0","4.0","Introduction to Contemporary Spanish Theatre","C","","N","TBA","TBA","","0","","","",NA,"(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","","SPAN","20243"
"00364","FREN-300","LAS","613","4.0","4.0","French Grammar and Composition","C","","Y","TBA","TBA","","4","","Grimes, Mark","OFFICE",NA,"Grammatical structure and vocabulary building with practical application to written composition. Prerequisites: FREN 250.","","FREN","20243"
"00365","FREN-330","LASH","613","4.0","4.0","Critical Writing in French","C","","Y","TBA","TBA","","3","","Grimes, Mark","OFFICE",NA,"Advanced composition through critical reading of literary texts; comprehensive analysis of difficult grammatical structures and stylistics. Prerequisite: FREN 300.","","FREN","20243"
"00371","AHIS-357","LASH","613","4.0","4.0","History of French Art 1860-1920","C","","Y","TBA","TBA","","5","","Grimes, Mark","OFFCAMPUS",NA,"(Paris semester only).  Exploration of the main movements of late 19th and early 20th century French art using the resources of Parisian museums and monuments.  Visits to Paris museums are an integral part of the coursework. Recommended preparation: familiarity with modern European history","","AHIS","20243"
"00375","IR-368","LASS","613","4.0","4.0","French Foreign Policy: 1945 to the Present","C","","Y","TBA","TBA","","4","","Grimes, Mark","OFFCAMPUS",NA,"Introduction to historical, thematic perspectives of French foreign policy since 1945 including review of external and internal constraints influencing foreign policy. (Paris semester only).","","IR","20243"
"00401","USC-300","LASO","657","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00402","USC-300","LASO","888","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00403","USC-300","LASO","357","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","4","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00404","USC-300","LASO","931","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","3","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00405","USC-300","LASO","793","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00406","USC-300","LASO","201","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","3","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00407","USC-300","LASO","172","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00408","USC-300","LASO","796","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00409","USC-300","LASO","464","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00410","USC-300","LASO","887","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00411","USC-300","LASO","316","15.0","15.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00412","USC-300","LASO","844","15.0","15.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00413","USC-300","LASO","895","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00414","USC-300","LASO","672","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00415","USC-300","LASO","209","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00416","USC-300","LASO","399","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00417","USC-300","LASO","295","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","6","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00418","USC-300","LASO","091","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00419","USC-300","LASO","738","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00420","USC-300","LASO","772","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","5","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00421","USC-300","LASO","896","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00422","USC-300","LASO","821","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00423","USC-300","LASO","976","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","5","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00424","USC-300","LASO","327","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00425","USC-300","LASO","946","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00426","USC-300","LASO","472","15.0","15.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00427","USC-300","LASO","260","15.0","15.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","10","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00428","USC-300","LASO","173","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00429","USC-300","LASO","092","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","7","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00430","USC-300","LASO","490","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00431","USC-300","LASO","970","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00432","USC-300","LASO","730","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00433","USC-300","LASO","944","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","5","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00434","USC-300","LASO","971","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","9","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00436","USC-300","LASO","105","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00437","USC-300","LASO","090","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","4","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00440","USC-300","LASO","613","4.0","4.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00441","USC-300","LASO","613","8.0","8.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFFCAMPUS",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00457","USC-300","LASO","278","12.0","12.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","2","A","","ONLINE",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00459","USC-300","LASO","456","12.0","12.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","A","","ONLINE",NA,"Block enrollment course for registration purposes only.","","USC","20243"
"00900","USC-100","RNR","001","1.0","16.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","0","","","OFFCAMPUS",NA,"The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20243"
