"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00010","MED-100","MED","003","16.0","16.0","First Year Medicine","C","","Y","TBA","TBA","","30","","Ben-Ari, Ron;Nash, Kevin","OFFICE",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20261"
"00020","MED-200","MED","047","16.0","16.0","Second Year Medicine","C","","Y","TBA","TBA","","37","","Ben-Ari, Ron;Nash, Kevin","OFFICE",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20261"
"00030","MED-300","MED","049","16.0","16.0","Third Year Medicine","C","","Y","TBA","TBA","","32","","Ben-Ari, Ron;Diller, David","",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20261"
"00040","MED-400","MED","080","16.0","16.0","Fourth Year Medicine","C","","Y","TBA","TBA","","55","","Ben-Ari, Ron;Diller, David","",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20261"
"00070","MED-750","MED","001","16.0","16.0","Special Medicine","C","","N","TBA","TBA","","0","","","",NA,"For registration and fee purposes only.","","MED","20261"
"00071","MED-750","MED","046","16.0","16.0","Special Medicine","C","","N","TBA","TBA","","0","","","",NA,"For registration and fee purposes only.","","MED","20261"
"00214","PDF-999","RNR","074","0.0","0.0","Postdoctoral Fellows","C","","Y","TBA","TBA","","0","","","ONLINE",NA,"Course created for visiting postdoctoral fellows scholars.  The course is created for enrollment purposes, zero units, full time status, scheduled in session 018, and never appears in the student academic records system.","","PDF","20261"
"00301","USC-300","LASO","218","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","0","","","OFFICE",NA,"Block enrollment course for registration purposes only.","","USC","20261"
"00354","SPAN-391","LASH","001","4.0","4.0","Introduction to Contemporary Spanish Literature (USC Madrid Center)","C","","N","TBA","TBA","","0","","","",NA,"Readings in contemporary Spanish literature.  Includes lectures by recognized Spanish writers and scholars.  Departmental approval.","","SPAN","20261"
"00358","SPAN-464","LASH","001","4.0","4.0","Introduction to Contemporary Spanish Theatre","C","","N","TBA","TBA","","0","","","",NA,"(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","","SPAN","20261"
"00367","FREN-392","LAS","001","4.0","4.0","Seminar in Literary and Cultural Studies","C","","N","TBA","TBA","","0","","","",NA,"Selected topics in French and Francophone literature and culture. Conducted in French. Corequisite: FREN-330.","","FREN","20261"
