"courseID","course_title","id","value","name","full_name","section_name","semester","document","goal","keyword","color","section","school","session","instructor","course_description","department","origin","total_enrolled","N.Sections","course_desc","year","all_semesters","course_level","clean_course_desc","text","nkeywords","all_keywords","all_goals","sustainability_classification","freq"
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","","F24",49586,9,"innovation","#FD6925",10209,"Jimmy Iovine and Andre Young Academy",1,"Swain, Chris;Kanazawa, Michael","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","ACAD",20243,0,1,"Disruptive Innovation -  - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, F24","undergrad lower division","disruptive innovation      critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","disruptive innovation      critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ",2,"innovation,politics,innovations,cultural","9,10,16","Sustainability-Inclusive",3
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","","F24",49586,10,"cultural","#DD1367",10209,"Jimmy Iovine and Andre Young Academy",1,"Swain, Chris;Kanazawa, Michael","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","ACAD",20243,0,1,"Disruptive Innovation -  - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, F24","undergrad lower division","disruptive innovation      critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","disruptive innovation      critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ",1,"innovation,politics,innovations,cultural","9,10,16","Sustainability-Inclusive",1
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","","F24",49586,16,"politics","#00689D",10209,"Jimmy Iovine and Andre Young Academy",1,"Swain, Chris;Kanazawa, Michael","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","ACAD",20243,0,1,"Disruptive Innovation -  - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, F24","undergrad lower division","disruptive innovation      critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","disruptive innovation      critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ",1,"innovation,politics,innovations,cultural","9,10,16","Sustainability-Inclusive",1
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","","F24",49586,9,"innovations","#FD6925",10209,"Jimmy Iovine and Andre Young Academy",1,"Swain, Chris;Kanazawa, Michael","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","ACAD",20243,0,1,"Disruptive Innovation -  - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, F24","undergrad lower division","disruptive innovation      critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","disruptive innovation      critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ",2,"innovation,politics,innovations,cultural","9,10,16","Sustainability-Inclusive",1
"ACAD-309","Dreams and Madness: The Art of Japan's Golden Age of Animation",30,"A","The Arts","A - The Arts","","SP24",44045,16,"politics","#00689D",10252,"Jimmy Iovine and Andre Young Academy",1,"Thomas, Doug","An in-depth look at the art, politics, and cultural impact of several Japanese filmmakers including Isao Takahata, Hayao Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","ACAD",20241,117,1,"Dreams and Madness: The Art of Japan's Golden Age of Animation -  - An in-depth look at the art, politics, and cultural impact of several Japanese filmmakers including Isao Takahata, Hayao Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","AY24","SP20, SP21, SP22, SP23, SP24","undergrad upper division","dreams and madness  the art of japan's golden age of animation      an in depth look at the art  politics  and cultural impact of several japanese filmmakers including isao takahata  hayao miyazaki  satoshi kon  mamoru hosoda and makoto shinkai ","dreams and madness  the art of japan s golden age of animation      an in depth look at the art  politics  and cultural impact of several japanese filmmakers including isao takahata  hayao miyazaki  satoshi kon  mamoru hosoda and makoto shinkai ",1,"cultural,politics","10,16","Sustainability-Inclusive",1
"ACAD-309","Dreams and Madness: The Art of Japan's Golden Age of Animation",30,"A","The Arts","A - The Arts","","SP24",44045,10,"cultural","#DD1367",10252,"Jimmy Iovine and Andre Young Academy",1,"Thomas, Doug","An in-depth look at the art, politics, and cultural impact of several Japanese filmmakers including Isao Takahata, Hayao Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","ACAD",20241,117,1,"Dreams and Madness: The Art of Japan's Golden Age of Animation -  - An in-depth look at the art, politics, and cultural impact of several Japanese filmmakers including Isao Takahata, Hayao Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","AY24","SP20, SP21, SP22, SP23, SP24","undergrad upper division","dreams and madness  the art of japan's golden age of animation      an in depth look at the art  politics  and cultural impact of several japanese filmmakers including isao takahata  hayao miyazaki  satoshi kon  mamoru hosoda and makoto shinkai ","dreams and madness  the art of japan s golden age of animation      an in depth look at the art  politics  and cultural impact of several japanese filmmakers including isao takahata  hayao miyazaki  satoshi kon  mamoru hosoda and makoto shinkai ",1,"cultural,politics","10,16","Sustainability-Inclusive",1
"ACAD-324","The Practice of Design: Ideation to Innovation",30,"A","The Arts","A - The Arts","","F24",49599,9,"ideation","#FD6925",10248,"Jimmy Iovine and Andre Young Academy",1,"Wolter, Davina","History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.","ACAD",20243,0,2,"The Practice of Design: Ideation to Innovation -  - History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, F24","undergrad upper division","the practice of design  ideation to innovation      history and application of proven collaborative design processes and methodologies as they relate to ideation and innovation ","the practice of design  ideation to innovation      history and application of proven collaborative design processes and methodologies as they relate to ideation and innovation ",2,"innovation,ideation","9","SDG-Related",2
"ACAD-324","The Practice of Design: Ideation to Innovation",30,"A","The Arts","A - The Arts","","F24",49599,9,"innovation","#FD6925",10248,"Jimmy Iovine and Andre Young Academy",1,"Wolter, Davina","History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.","ACAD",20243,0,2,"The Practice of Design: Ideation to Innovation -  - History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, F24","undergrad upper division","the practice of design  ideation to innovation      history and application of proven collaborative design processes and methodologies as they relate to ideation and innovation ","the practice of design  ideation to innovation      history and application of proven collaborative design processes and methodologies as they relate to ideation and innovation ",2,"innovation,ideation","9","SDG-Related",2
"AHIS-100","Introduction to Visual Culture",24,"Category V","Arts and Letters","Category V - Arts and Letters","","F24",49783,NA,NA,NA,11800,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Burton, Samantha","The description and analysis of various forms of visual culture, including both mass media and ""high"" art representations, both Western and non-Western images.","AHIS",20243,0,7,"Introduction to Visual Culture -  - The description and analysis of various forms of visual culture, including both mass media and ""high"" art representations, both Western and non-Western images.","AY25","SP20, SP21, SP22, SP23, F23, F24","undergrad lower division","introduction to visual culture      the description and analysis of various forms of visual culture  including both mass media and  high  art representations  both western and non western images ","introduction to visual culture      the description and analysis of various forms of visual culture  including both mass media and  high  art representations  both western and non western images ",1,"","","Not Related",NA
"AHIS-100","Introduction to Visual Culture",31,"B","Humanistic Inquiry","B - Humanistic Inquiry","","F24",49783,NA,NA,NA,11800,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Burton, Samantha","The description and analysis of various forms of visual culture, including both mass media and ""high"" art representations, both Western and non-Western images.","AHIS",20243,0,7,"Introduction to Visual Culture -  - The description and analysis of various forms of visual culture, including both mass media and ""high"" art representations, both Western and non-Western images.","AY25","SP20, SP21, SP22, SP23, F23, F24","undergrad lower division","introduction to visual culture      the description and analysis of various forms of visual culture  including both mass media and  high  art representations  both western and non western images ","introduction to visual culture      the description and analysis of various forms of visual culture  including both mass media and  high  art representations  both western and non western images ",1,"","","Not Related",NA
