"section","courseID","school","session","course_title","instructor","course_description","section_name","department","origin","total_enrolled","N.Sections","semester","course_desc","year","all_semesters","course_level"
70,"MED-750","Keck School of Medicine",1,"Special Medicine","","For registration and fee purposes only.","","MED",20251,0,2,"SP25","Special Medicine -  - For registration and fee purposes only.","AY25","SP25","graduate"
354,"SPAN-391","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Introduction to Contemporary Spanish Literature (USC Madrid Center)","","Readings in contemporary Spanish literature.  Includes lectures by recognized Spanish writers and scholars.  Departmental approval.","","SPAN",20251,0,1,"SP25","Introduction to Contemporary Spanish Literature (USC Madrid Center) -  - Readings in contemporary Spanish literature.  Includes lectures by recognized Spanish writers and scholars.  Departmental approval.","AY25","SP25","undergrad upper division"
358,"SPAN-464","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Introduction to Contemporary Spanish Theatre","","(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","","SPAN",20251,0,1,"SP25","Introduction to Contemporary Spanish Theatre -  - (Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","AY25","SP25","undergrad upper division"
367,"FREN-392","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Seminar in Literary and Cultural Studies","","Selected topics in French and Francophone literature and culture. Conducted in French. Corequisite: FREN-330.","","FREN",20251,0,1,"SP25","Seminar in Literary and Cultural Studies -  - Selected topics in French and Francophone literature and culture. Conducted in French. Corequisite: FREN-330.","AY25","SP25","undergrad upper division"
376,"IR-449","Dana and David Dornsife College of Letters, Arts and Sciences",1,"International Courts and the Globalization of Law","","Research-based analysis of dramatic development of international courts, exploring causes for their development, autonomy and political relations with states, compliance, effects on international relations.","","IR",20251,0,1,"SP25","International Courts and the Globalization of Law -  - Research-based analysis of dramatic development of international courts, exploring causes for their development, autonomy and political relations with states, compliance, effects on international relations.","AY25","SP25","undergrad upper division"
2604,"LAW-301","Gould School of Law",1,"Voting Rights and the Law","","Examines the basic themes surrounding the legal regulation of elections with a focus on voting rights.","","LAW",20251,0,1,"SP25","Voting Rights and the Law -  - Examines the basic themes surrounding the legal regulation of elections with a focus on voting rights.","AY25","SP25","undergrad upper division"
2605,"LAW-201","Gould School of Law",1,"Law and Politics","","Examination of the rules and realities of American politics, and the role politics plays in American life and culture.","","LAW",20251,0,1,"SP25","Law and Politics -  - Examination of the rules and realities of American politics, and the role politics plays in American life and culture.","AY25","SP25","undergrad lower division"
2606,"LAW-200","Gould School of Law",1,"Law and Society","","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW",20251,0,5,"SP25","Law and Society -  - Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","AY25","SP25","undergrad lower division"
2607,"LAW-300","Gould School of Law",1,"Concepts in American Law","Jimenez, Felipe","The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","","LAW",20251,0,1,"SP25","Concepts in American Law -  - The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","AY25","SP25","undergrad upper division"
2612,"LAW-222","Gould School of Law",1,"Interdisciplinary Perspectives on the Law","Wood, Abby","Examines law and the legal system from different disciplinary perspectives. It explores how various disciplines provide different insights to the legal regime.","","LAW",20251,0,1,"SP25","Interdisciplinary Perspectives on the Law -  - Examines law and the legal system from different disciplinary perspectives. It explores how various disciplines provide different insights to the legal regime.","AY25","SP25","undergrad lower division"
2613,"LAW-210","Gould School of Law",1,"Fundamentals of the U.S. Legal System","Scotten, Donald","Introduces the U.S. legal system and its relationship to basic principles of the rule of law. Examines lawmaking institutions, judicial processes and contemporary legal issues.","","LAW",20251,0,1,"SP25","Fundamentals of the U.S. Legal System -  - Introduces the U.S. legal system and its relationship to basic principles of the rule of law. Examines lawmaking institutions, judicial processes and contemporary legal issues.","AY25","SP25","undergrad lower division"
2614,"LAW-205","Gould School of Law",1,"Introduction to Criminal Law","Johnson, Peter","Provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law.","","LAW",20251,0,1,"SP25","Introduction to Criminal Law -  - Provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law.","AY25","SP25","undergrad lower division"
2615,"LAW-306","Gould School of Law",1,"Issues in the Use of AI in Law and Regulation","","Focuses on the role artificial intelligence plays in a variety of aspects of the law through humanities-based approaches like ethics, linguistics, sociological and economics approaches.","","LAW",20251,0,1,"SP25","Issues in the Use of AI in Law and Regulation -  - Focuses on the role artificial intelligence plays in a variety of aspects of the law through humanities-based approaches like ethics, linguistics, sociological and economics approaches.","AY25","SP25","undergrad upper division"
2616,"LAW-407","Gould School of Law",1,"Regulatory Law","","Introduces legal and social ideas and issues surrounding regulatory law - how and why regulations are developed, along with the accountability and enforcement of regulations.","","LAW",20251,0,1,"SP25","Regulatory Law -  - Introduces legal and social ideas and issues surrounding regulatory law - how and why regulations are developed, along with the accountability and enforcement of regulations.","AY25","SP25","undergrad upper division"
2620,"LAW-403","Gould School of Law",1,"Mental Health Law","","Foundational legal and practice concepts at the intersection of law and psychology through three intersecting systems: the mental health, the criminal and the immigration systems.","","LAW",20251,0,1,"SP25","Mental Health Law -  - Foundational legal and practice concepts at the intersection of law and psychology through three intersecting systems: the mental health, the criminal and the immigration systems.","AY25","SP25","undergrad upper division"
