"section","courseID","school","session","course_title","instructor","course_description","section_name","department","origin","total_enrolled","N.Sections","semester","course_desc","year","all_semesters","course_level","clean_course_desc"
70,"MED-750","Keck School of Medicine",1,"Special Medicine","","For registration and fee purposes only.","","MED",20251,0,2,"SP25","Special Medicine -  - For registration and fee purposes only.","AY25","SP25","graduate","special medicine      for registration and fee purposes only "
354,"SPAN-391","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Introduction to Contemporary Spanish Literature (USC Madrid Center)","","Readings in contemporary Spanish literature.  Includes lectures by recognized Spanish writers and scholars.  Departmental approval.","","SPAN",20251,0,1,"SP25","Introduction to Contemporary Spanish Literature (USC Madrid Center) -  - Readings in contemporary Spanish literature.  Includes lectures by recognized Spanish writers and scholars.  Departmental approval.","AY25","SP25","undergrad upper division","introduction to contemporary spanish literature  usc madrid center       readings in contemporary spanish literature   includes lectures by recognized spanish writers and scholars   departmental approval "
358,"SPAN-464","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Introduction to Contemporary Spanish Theatre","","(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","","SPAN",20251,0,1,"SP25","Introduction to Contemporary Spanish Theatre -  - (Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","AY25","SP25","undergrad upper division","introduction to contemporary spanish theatre       madrid center only  historical evolution of the contemporary spanish theatre  readings of dramatic texts supported by attendance at live stage performances  recommended preparation  span 304 or span 306 or span 308"
367,"FREN-392","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Seminar in Literary and Cultural Studies","","Selected topics in French and Francophone literature and culture. Conducted in French. Corequisite: FREN-330.","","FREN",20251,0,1,"SP25","Seminar in Literary and Cultural Studies -  - Selected topics in French and Francophone literature and culture. Conducted in French. Corequisite: FREN-330.","AY25","SP25","undergrad upper division","seminar in literary and cultural studies      selected topics in french and francophone literature and culture  conducted in french  corequisite  fren 330 "
376,"IR-449","Dana and David Dornsife College of Letters, Arts and Sciences",1,"International Courts and the Globalization of Law","","Research-based analysis of dramatic development of international courts, exploring causes for their development, autonomy and political relations with states, compliance, effects on international relations.","","IR",20251,0,1,"SP25","International Courts and the Globalization of Law -  - Research-based analysis of dramatic development of international courts, exploring causes for their development, autonomy and political relations with states, compliance, effects on international relations.","AY25","SP25","undergrad upper division","international courts and the globalization of law      research based analysis of dramatic development of international courts  exploring causes for their development  autonomy and political relations with states  compliance  effects on international relations "
2604,"LAW-301","Gould School of Law",1,"Voting Rights and the Law","","Examines the basic themes surrounding the legal regulation of elections with a focus on voting rights.","","LAW",20251,0,1,"SP25","Voting Rights and the Law -  - Examines the basic themes surrounding the legal regulation of elections with a focus on voting rights.","AY25","SP25","undergrad upper division","voting rights and the law      examines the basic themes surrounding the legal regulation of elections with a focus on voting rights "
2605,"LAW-201","Gould School of Law",1,"Law and Politics","","Examination of the rules and realities of American politics, and the role politics plays in American life and culture.","","LAW",20251,0,1,"SP25","Law and Politics -  - Examination of the rules and realities of American politics, and the role politics plays in American life and culture.","AY25","SP25","undergrad lower division","law and politics      examination of the rules and realities of american politics  and the role politics plays in american life and culture "
2606,"LAW-200","Gould School of Law",1,"Law and Society","","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW",20251,0,5,"SP25","Law and Society -  - Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","AY25","SP25","undergrad lower division","law and society      sources and structure of law  history of bill of rights emphasizing effect on criminal justice system  limits of law in solving problems in american society "
2607,"LAW-300","Gould School of Law",1,"Concepts in American Law","Jimenez, Felipe","The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","","LAW",20251,0,1,"SP25","Concepts in American Law -  - The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","AY25","SP25","undergrad upper division","concepts in american law      the main concepts and topics in american law  in the historical  economic and cultural contexts in which they have developed "
2612,"LAW-222","Gould School of Law",1,"Interdisciplinary Perspectives on the Law","Wood, Abby","Examines law and the legal system from different disciplinary perspectives. It explores how various disciplines provide different insights to the legal regime.","","LAW",20251,0,1,"SP25","Interdisciplinary Perspectives on the Law -  - Examines law and the legal system from different disciplinary perspectives. It explores how various disciplines provide different insights to the legal regime.","AY25","SP25","undergrad lower division","interdisciplinary perspectives on the law      examines law and the legal system from different disciplinary perspectives  it explores how various disciplines provide different insights to the legal regime "
2613,"LAW-210","Gould School of Law",1,"Fundamentals of the U.S. Legal System","Scotten, Donald","Introduces the U.S. legal system and its relationship to basic principles of the rule of law. Examines lawmaking institutions, judicial processes and contemporary legal issues.","","LAW",20251,0,1,"SP25","Fundamentals of the U.S. Legal System -  - Introduces the U.S. legal system and its relationship to basic principles of the rule of law. Examines lawmaking institutions, judicial processes and contemporary legal issues.","AY25","SP25","undergrad lower division","fundamentals of the u s  legal system      introduces the u s  legal system and its relationship to basic principles of the rule of law  examines lawmaking institutions  judicial processes and contemporary legal issues "
2614,"LAW-205","Gould School of Law",1,"Introduction to Criminal Law","Johnson, Peter","Provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law.","","LAW",20251,0,1,"SP25","Introduction to Criminal Law -  - Provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law.","AY25","SP25","undergrad lower division","introduction to criminal law      provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law "
2615,"LAW-306","Gould School of Law",1,"Issues in the Use of AI in Law and Regulation","","Focuses on the role artificial intelligence plays in a variety of aspects of the law through humanities-based approaches like ethics, linguistics, sociological and economics approaches.","","LAW",20251,0,1,"SP25","Issues in the Use of AI in Law and Regulation -  - Focuses on the role artificial intelligence plays in a variety of aspects of the law through humanities-based approaches like ethics, linguistics, sociological and economics approaches.","AY25","SP25","undergrad upper division","issues in the use of ai in law and regulation      focuses on the role artificial intelligence plays in a variety of aspects of the law through humanities based approaches like ethics  linguistics  sociological and economics approaches "
2616,"LAW-407","Gould School of Law",1,"Regulatory Law","","Introduces legal and social ideas and issues surrounding regulatory law - how and why regulations are developed, along with the accountability and enforcement of regulations.","","LAW",20251,0,1,"SP25","Regulatory Law -  - Introduces legal and social ideas and issues surrounding regulatory law - how and why regulations are developed, along with the accountability and enforcement of regulations.","AY25","SP25","undergrad upper division","regulatory law      introduces legal and social ideas and issues surrounding regulatory law   how and why regulations are developed  along with the accountability and enforcement of regulations "
2620,"LAW-403","Gould School of Law",1,"Mental Health Law","","Foundational legal and practice concepts at the intersection of law and psychology through three intersecting systems: the mental health, the criminal and the immigration systems.","","LAW",20251,0,1,"SP25","Mental Health Law -  - Foundational legal and practice concepts at the intersection of law and psychology through three intersecting systems: the mental health, the criminal and the immigration systems.","AY25","SP25","undergrad upper division","mental health law      foundational legal and practice concepts at the intersection of law and psychology through three intersecting systems  the mental health  the criminal and the immigration systems "
2624,"LAW-324","Gould School of Law",1,"Sports Law","","Examines the relevance and application of legal structures to all participants in the sports enterprise by providing an overview of legal and ethical issues.","","LAW",20251,0,1,"SP25","Sports Law -  - Examines the relevance and application of legal structures to all participants in the sports enterprise by providing an overview of legal and ethical issues.","AY25","SP25","undergrad upper division","sports law      examines the relevance and application of legal structures to all participants in the sports enterprise by providing an overview of legal and ethical issues "
2625,"LAW-250","Gould School of Law",1,"Children and the Law","","Examines topics such as children's suggestibility, decision-making, and risk and resiliency all as they apply to legal settings.","","LAW",20251,0,1,"SP25","Children and the Law -  - Examines topics such as children's suggestibility, decision-making, and risk and resiliency all as they apply to legal settings.","AY25","SP25","undergrad lower division","children and the law      examines topics such as children's suggestibility  decision making  and risk and resiliency all as they apply to legal settings "
2626,"LAW-404","Gould School of Law",1,"Psychology of the Criminal Justice Process","","Examines the capacity of the criminal process to produce accurate verdicts, focusing on: witnesses, detectives, suspects, judges and jurors.","","LAW",20251,0,1,"SP25","Psychology of the Criminal Justice Process -  - Examines the capacity of the criminal process to produce accurate verdicts, focusing on: witnesses, detectives, suspects, judges and jurors.","AY25","SP25","undergrad upper division","psychology of the criminal justice process      examines the capacity of the criminal process to produce accurate verdicts  focusing on  witnesses  detectives  suspects  judges and jurors "
2627,"LAW-225","Gould School of Law",1,"Current Court Cases","Grabarsky, Todd","Exposes students to the impact of legal decisions on society through analysis of pending and recent cases on the courts docket.","","LAW",20251,0,1,"SP25","Current Court Cases -  - Exposes students to the impact of legal decisions on society through analysis of pending and recent cases on the courts docket.","AY25","SP25","undergrad lower division","current court cases      exposes students to the impact of legal decisions on society through analysis of pending and recent cases on the courts docket "
2629,"LAW-275","Gould School of Law",1,"Equal by Law: The History of Civil Rights Law in the United","","Traces the development of U.S. constitutional and statutory mechanisms designed to fulfill the promise of equality under the law.","","LAW",20251,0,1,"SP25","Equal by Law: The History of Civil Rights Law in the United -  - Traces the development of U.S. constitutional and statutory mechanisms designed to fulfill the promise of equality under the law.","AY25","SP25","undergrad lower division","equal by law  the history of civil rights law in the united      traces the development of u s  constitutional and statutory mechanisms designed to fulfill the promise of equality under the law "
2630,"LAW-320","Gould School of Law",1,"Law, Slavery, and Race","Alexander, Taifha","Studies how law, politics and culture interacted to shape the institution of slavery and the development of modern conceptions of race.","","LAW",20251,0,1,"SP25","Law, Slavery, and Race -  - Studies how law, politics and culture interacted to shape the institution of slavery and the development of modern conceptions of race.","AY25","SP25","undergrad upper division","law  slavery  and race      studies how law  politics and culture interacted to shape the institution of slavery and the development of modern conceptions of race "
2632,"LAW-350","Gould School of Law",1,"Law and Entrepreneurship","Chasalow, Michael","Examines areas of the law that impact entrepreneurs, starting, operating and financing businesses. Topics include: selection of business entities; securities laws and issues that arise in fundraising; employment law; contracts; torts; intellectual property; global expansion; mergers and acquisitions ; and IPOs.","","LAW",20251,0,1,"SP25","Law and Entrepreneurship -  - Examines areas of the law that impact entrepreneurs, starting, operating and financing businesses. Topics include: selection of business entities; securities laws and issues that arise in fundraising; employment law; contracts; torts; intellectual property; global expansion; mergers and acquisitions ; and IPOs.","AY25","SP25","undergrad upper division","law and entrepreneurship      examines areas of the law that impact entrepreneurs  starting  operating and financing businesses  topics include  selection of business entities  securities laws and issues that arise in fundraising  employment law  contracts  torts  intellectual property  global expansion  mergers and acquisitions   and ipos "
2635,"LAW-310","Gould School of Law",1,"Global Justice for Mass Atrocities and Genocide","Zaverukha, Iryna","Learn about international law and courts trying these cases, while also reflecting on whether criminal trials are the best response to bringing healing and reconciliation to affected societies.","","LAW",20251,0,1,"SP25","Global Justice for Mass Atrocities and Genocide -  - Learn about international law and courts trying these cases, while also reflecting on whether criminal trials are the best response to bringing healing and reconciliation to affected societies.","AY25","SP25","undergrad upper division","global justice for mass atrocities and genocide      learn about international law and courts trying these cases  while also reflecting on whether criminal trials are the best response to bringing healing and reconciliation to affected societies "
2636,"LAW-406","Gould School of Law",1,"Individual Rights in U.S. Constitutional Law","","Explores the U.S. Bill of Rights and the limits that the Constitution imposes on the state majoritys ability to impose its will on an individual.","","LAW",20251,0,1,"SP25","Individual Rights in U.S. Constitutional Law -  - Explores the U.S. Bill of Rights and the limits that the Constitution imposes on the state majoritys ability to impose its will on an individual.","AY25","SP25","undergrad upper division","individual rights in u s  constitutional law      explores the u s  bill of rights and the limits that the constitution imposes on the state majoritys ability to impose its will on an individual "
2637,"LAW-206","Gould School of Law",1,"Responsible Use of Artificial Intelligence: Ethics and Law","","Analyzes the ethical dilemmas and societal implications of artificial intelligence and debates the future of artificial intelligence regulations and laws.","","LAW",20251,0,1,"SP25","Responsible Use of Artificial Intelligence: Ethics and Law -  - Analyzes the ethical dilemmas and societal implications of artificial intelligence and debates the future of artificial intelligence regulations and laws.","AY25","SP25","undergrad lower division","responsible use of artificial intelligence  ethics and law      analyzes the ethical dilemmas and societal implications of artificial intelligence and debates the future of artificial intelligence regulations and laws "
