"document","courseID","semester","year","keyword","goal","color","freq"
"72","ACAD-309","SP25","AY25","cultural",10,"#DD1367",1
"72","ACAD-309","SP25","AY25","politics",16,"#00689D",1
"388","ACCT-370","SP25","AY25","financial",8,"#A21942",2
"389","ACCT-371","SP25","AY25","financial",8,"#A21942",1
"397","ACCT-405","SP25","AY25","sustainability",17,"#19486A",4
"397","ACCT-405","SP25","AY25","sustainability",8,"#A21942",4
"397","ACCT-405","SP25","AY25","sustainability",13,"#3F7E44",4
"397","ACCT-405","SP25","AY25","sustainability",12,"#BF8B2E",4
"397","ACCT-405","SP25","AY25","sustainability",7,"#FCC30B",4
"397","ACCT-405","SP25","AY25","sustainability",11,"#FD9D24",4
"397","ACCT-405","SP25","AY25","sustainability",15,"#56C02B",4
"397","ACCT-405","SP25","AY25","sustainability",16,"#00689D",4
"397","ACCT-405","SP25","AY25","corporate sustainability",8,"#A21942",2
"397","ACCT-405","SP25","AY25","sustainability",1,"#E5243B",4
"397","ACCT-405","SP25","AY25","sustainability",2,"#DDA63A",4
"397","ACCT-405","SP25","AY25","sustainability",9,"#FD6925",4
"397","ACCT-405","SP25","AY25","sustainability",3,"#4C9F38",4
"397","ACCT-405","SP25","AY25","sustainability",10,"#DD1367",4
"397","ACCT-405","SP25","AY25","sustainability",5,"#FF3A21",4
"397","ACCT-405","SP25","AY25","sustainability",4,"#C5192D",4
"397","ACCT-405","SP25","AY25","sustainability",6,"#26BDE2",4
"392","ACCT-410","SP25","AY25","financial",8,"#A21942",1
"393","ACCT-416","SP25","AY25","financial",8,"#A21942",2
"395","ACCT-430","SP25","AY25","ethics",10,"#DD1367",1
"395","ACCT-430","SP25","AY25","ethical issues",10,"#DD1367",1
"391","ACCT-451","SP25","AY25",NA,NA,NA,NA
"390","ACCT-456","SP25","AY25","financial",8,"#A21942",1
"394","ACCT-470","SP25","AY25","business enterprises",8,"#A21942",1
"394","ACCT-470","SP25","AY25","financing",8,"#A21942",1
"394","ACCT-470","SP25","AY25","financial",8,"#A21942",2
"394","ACCT-470","SP25","AY25","investing",8,"#A21942",1
"396","ACCT-493","SP25","AY25",NA,NA,NA,NA
"417","ACCT-505","SP25","AY25","sustainability",7,"#FCC30B",1
"417","ACCT-505","SP25","AY25","sustainability",3,"#4C9F38",1
"417","ACCT-505","SP25","AY25","sustainability",11,"#FD9D24",1
"417","ACCT-505","SP25","AY25","sustainability",17,"#19486A",1
"417","ACCT-505","SP25","AY25","sustainability",16,"#00689D",1
"417","ACCT-505","SP25","AY25","sustainability",10,"#DD1367",1
"417","ACCT-505","SP25","AY25","sustainability",1,"#E5243B",1
"417","ACCT-505","SP25","AY25","sustainability",12,"#BF8B2E",1
"417","ACCT-505","SP25","AY25","sustainability",13,"#3F7E44",1
"417","ACCT-505","SP25","AY25","sustainability",9,"#FD6925",1
"417","ACCT-505","SP25","AY25","sustainability",15,"#56C02B",1
"417","ACCT-505","SP25","AY25","sustainability",6,"#26BDE2",1
"417","ACCT-505","SP25","AY25","corporate sustainability",8,"#A21942",1
"417","ACCT-505","SP25","AY25","sustainability",2,"#DDA63A",1
"417","ACCT-505","SP25","AY25","financial",8,"#A21942",1
"417","ACCT-505","SP25","AY25","valuation",8,"#A21942",1
"417","ACCT-505","SP25","AY25","sustainability",8,"#A21942",1
"417","ACCT-505","SP25","AY25","sustainability",4,"#C5192D",1
"417","ACCT-505","SP25","AY25","sustainability",5,"#FF3A21",1
"398","ACCT-526","SP25","AY25","border",10,"#DD1367",1
"398","ACCT-526","SP25","AY25","legal",16,"#00689D",1
"398","ACCT-526","SP25","AY25","political",16,"#00689D",1
"398","ACCT-526","SP25","AY25","cultural",10,"#DD1367",1
"398","ACCT-526","SP25","AY25","global economy",8,"#A21942",1
"399","ACCT-528","SP25","AY25","valuation",8,"#A21942",1
"400","ACCT-532","SP25","AY25","financial",8,"#A21942",2
