"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00070","MED-750","MED","001","16.0","16.0","Special Medicine","C","","Y","TBA","TBA","","0","","","","0","For registration and fee purposes only.","","MED","20243"
"00354","SPAN-260","LASH","001","4.0","4.0","Advanced Spanish: Arts and Sciences","C","","N","TBA","TBA","","0","","","","0","Development of students' oral and writing skills using literary and scientific materials; grammar review. Duplicates credit in the former SPAN 266.","","SPAN","20243"
"00355","SPAN-302","LAS","001","4.0","4.0","Screen Cultures: From Film to the Internet","C","","N","TBA","TBA","","0","","","","0","A survey of Spanish and Latin American cinema from the silent film era to the present, acquainting students with various critical and theoretical approaches to cinema studies. Conducted in Spanish.","","SPAN","20243"
"00356","SPAN-464","LASH","001","4.0","4.0","Introduction to Contemporary Spanish Theatre","C","","N","TBA","TBA","","0","","","","0","(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","","SPAN","20243"
"02603","LAW-200","LAW","001","4.0","4.0","Law and Society","CD","","Y","12:00","13:50","MW","0","","Epstein, Lee","SLH200","0","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20243"
"02607","LAW-300","LAW","001","4.0","4.0","Concepts in American Law","C","","Y","14:00","15:50","MW","0","","Haddad, Mark","ZHS352","0","The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","","LAW","20243"
"02612","LAW-222","LAW","001","2.0","2.0","Interdisciplinary Perspectives on the Law","C","","Y","10:00","11:50","M","0","","Wood, Abby","","0","Examines law and the legal system from different disciplinary perspectives. It explores how various disciplines provide different insights to the legal regime.","","LAW","20243"
"02613","LAW-205","LAW","001","4.0","4.0","Introduction to Criminal Law","C","","Y","12:00","13:50","TH","0","","Johnson, Peter","LAW1","0","Provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law.","","LAW","20243"
"02614","LAW-300","LAW","001","4.0","4.0","Concepts in American Law","C","","Y","14:00","15:50","MW","0","","Stolzenberg, Nomi, M","DMC100","0","The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","","LAW","20243"
"02615","LAW-402","LAW","001","4.0","4.0","Psychology and Law","C","","Y","16:00","19:50","W","0","","Larson, Rakel","WPHB27","0","Explores issues of responsibility and credibility.  Intentional and unintentional behavior.  Clinical biases.  Topics include witness credibility, confessions, cults, hostages, battered persons, and repressed memories.","","LAW","20243"
"02616","LAW-201","LAW","001","4.0","4.0","Law and Politics","C","","Y","16:00","19:20","T","0","","Tolson, Franita","LAW2","0","Examination of the rules and realities of American politics, and the role politics plays in American life and culture.","","LAW","20243"
"02625","LAW-404","LAW","001","4.0","4.0","Psychology of the Criminal Justice Process","C","","Y","16:00","17:50","TH","0","","Simon, Dan","VPD107","0","Examines the capacity of the criminal process to produce accurate verdicts, focusing on: witnesses, detectives, suspects, judges and jurors.","","LAW","20243"
"02634","LAW-490","LAW","001","1.0","4.0","Directed Research","C","","Y","TBA","TBA","","0","","","OFFICE","0","Individual research and readings.","","LAW","20243"
"02635","LAW-492","LAW","001","1.0","2.0","Undergraduate Law Review","C","","Y","18:00","19:50","H","0","","","LAW12","0","Introduces students to the basics of legal writing and research, with a focus on legal scholarship and law review-type journal articles.","","LAW","20243"
"02637","LAW-206","LAW","001","4.0","4.0","Responsible Use of Artificial Intelligence: Ethics and Law","C","","Y","16:00","17:50","MW","0","","Sokol, D., Daniel","DMC206","0","Analyzes the ethical dilemmas and societal implications of artificial intelligence and debates the future of artificial intelligence regulations and laws.","","LAW","20243"
